,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,C103,25.0,200.0,depart,40.0,50.0,0.0,0.0,1236.0,0.0,1354.0
1,,,,C_1,45.0,68.0,10.0,0.0,1127.0,90.0,1506.0
2,,,,C_2,45.0,70.0,30.0,0.0,1125.0,90.0,1828.0
3,,,,C_3,42.0,66.0,10.0,0.0,1129.0,90.0,1300.0
4,,,,C_4,42.0,68.0,10.0,727.0,782.0,90.0,1294.0
5,,,,C_5,42.0,65.0,10.0,0.0,1130.0,90.0,2409.0
6,,,,C_6,40.0,69.0,20.0,621.0,702.0,90.0,1977.0
7,,,,C_7,40.0,66.0,20.0,0.0,1130.0,90.0,2196.0
8,,,,C_8,38.0,68.0,20.0,255.0,324.0,90.0,1598.0
9,,,,C_9,38.0,70.0,10.0,534.0,605.0,90.0,1481.0
10,,,,C_10,35.0,66.0,10.0,357.0,410.0,90.0,859.0
11,,,,C_11,35.0,69.0,10.0,448.0,505.0,90.0,615.0
12,,,,C_12,25.0,85.0,20.0,0.0,1107.0,90.0,1505.0
13,,,,C_13,22.0,75.0,30.0,30.0,92.0,90.0,1543.0
14,,,,C_14,22.0,85.0,10.0,0.0,1106.0,90.0,2227.0
15,,,,C_15,20.0,80.0,40.0,384.0,429.0,90.0,1041.0
16,,,,C_16,20.0,85.0,40.0,0.0,1105.0,90.0,2541.0
17,,,,C_17,18.0,75.0,20.0,99.0,148.0,90.0,1383.0
18,,,,C_18,15.0,75.0,20.0,0.0,1110.0,90.0,1649.0
19,,,,C_19,15.0,80.0,10.0,0.0,1106.0,90.0,1295.0
20,,,,C_20,30.0,50.0,10.0,0.0,1136.0,90.0,2554.0
21,,,,C_21,30.0,52.0,20.0,0.0,1135.0,90.0,2457.0
22,,,,C_22,28.0,52.0,20.0,812.0,883.0,90.0,2177.0
23,,,,C_23,28.0,55.0,10.0,732.0,777.0,90.0,1928.0
24,,,,C_24,25.0,50.0,10.0,0.0,1131.0,90.0,1186.0
25,,,,C_25,25.0,52.0,40.0,169.0,224.0,90.0,453.0
26,,,,C_26,25.0,55.0,10.0,0.0,1130.0,90.0,2496.0
27,,,,C_27,23.0,52.0,10.0,261.0,316.0,90.0,772.0
28,,,,C_28,23.0,55.0,20.0,0.0,1128.0,90.0,2054.0
29,,,,C_29,20.0,50.0,10.0,0.0,1126.0,90.0,2374.0
30,,,,C_30,20.0,55.0,10.0,449.0,504.0,90.0,1914.0
31,,,,C_31,10.0,35.0,20.0,0.0,1112.0,90.0,1189.0
32,,,,C_32,10.0,40.0,30.0,0.0,1114.0,90.0,2487.0
33,,,,C_33,8.0,40.0,40.0,87.0,158.0,90.0,805.0
34,,,,C_34,8.0,45.0,20.0,0.0,1113.0,90.0,2619.0
35,,,,C_35,5.0,35.0,10.0,283.0,344.0,90.0,1424.0
36,,,,C_36,5.0,45.0,10.0,665.0,716.0,90.0,1356.0
37,,,,C_37,2.0,40.0,20.0,0.0,1106.0,90.0,1788.0
38,,,,C_38,0.0,40.0,30.0,479.0,522.0,90.0,638.0
39,,,,C_39,0.0,45.0,20.0,567.0,624.0,90.0,2050.0
40,,,,C_40,35.0,30.0,10.0,264.0,321.0,90.0,967.0
41,,,,C_41,35.0,32.0,10.0,166.0,235.0,90.0,627.0
42,,,,C_42,33.0,32.0,20.0,68.0,149.0,90.0,858.0
43,,,,C_43,33.0,35.0,10.0,0.0,1129.0,90.0,2404.0
44,,,,C_44,32.0,30.0,10.0,359.0,412.0,90.0,993.0
45,,,,C_45,30.0,30.0,10.0,541.0,600.0,90.0,963.0
46,,,,C_46,30.0,32.0,30.0,0.0,1125.0,90.0,1670.0
47,,,,C_47,30.0,35.0,10.0,0.0,1127.0,90.0,1969.0
48,,,,C_48,28.0,30.0,10.0,0.0,1122.0,90.0,2546.0
49,,,,C_49,28.0,35.0,10.0,1001.0,1066.0,90.0,2609.0
50,,,,C_50,26.0,32.0,10.0,0.0,1123.0,90.0,2164.0
51,,,,C_51,25.0,30.0,10.0,0.0,1121.0,90.0,1612.0
52,,,,C_52,25.0,35.0,10.0,0.0,1124.0,90.0,1374.0
53,,,,C_53,44.0,5.0,20.0,286.0,347.0,90.0,939.0
54,,,,C_54,42.0,10.0,40.0,0.0,1105.0,90.0,2094.0
55,,,,C_55,42.0,15.0,10.0,95.0,158.0,90.0,1021.0
56,,,,C_56,40.0,5.0,30.0,385.0,436.0,90.0,1383.0
57,,,,C_57,40.0,15.0,40.0,0.0,1111.0,90.0,1286.0
58,,,,C_58,38.0,5.0,30.0,471.0,534.0,90.0,2025.0
59,,,,C_59,38.0,15.0,10.0,0.0,1110.0,90.0,1701.0
60,,,,C_60,35.0,5.0,20.0,0.0,1100.0,90.0,2617.0
61,,,,C_61,50.0,30.0,10.0,0.0,1123.0,90.0,1268.0
62,,,,C_62,50.0,35.0,20.0,262.0,317.0,90.0,1110.0
63,,,,C_63,50.0,40.0,50.0,0.0,1131.0,90.0,1138.0
64,,,,C_64,48.0,30.0,10.0,632.0,693.0,90.0,1890.0
65,,,,C_65,48.0,40.0,10.0,76.0,129.0,90.0,1267.0
66,,,,C_66,47.0,35.0,10.0,826.0,875.0,90.0,1768.0
67,,,,C_67,47.0,40.0,10.0,12.0,77.0,90.0,1491.0
68,,,,C_68,45.0,30.0,10.0,734.0,777.0,90.0,803.0
69,,,,C_69,45.0,35.0,10.0,916.0,969.0,90.0,2390.0
70,,,,C_70,95.0,30.0,30.0,387.0,456.0,90.0,896.0
71,,,,C_71,95.0,35.0,20.0,0.0,1088.0,90.0,1848.0
72,,,,C_72,53.0,30.0,10.0,0.0,1122.0,90.0,1314.0
73,,,,C_73,92.0,30.0,10.0,0.0,1090.0,90.0,1940.0
74,,,,C_74,53.0,35.0,50.0,353.0,412.0,90.0,1576.0
75,,,,C_75,45.0,65.0,20.0,0.0,1130.0,90.0,1728.0
76,,,,C_76,90.0,35.0,10.0,203.0,260.0,90.0,744.0
77,,,,C_77,88.0,30.0,10.0,574.0,643.0,90.0,2118.0
78,,,,C_78,88.0,35.0,20.0,109.0,170.0,90.0,1663.0
79,,,,C_79,87.0,30.0,10.0,668.0,731.0,90.0,2004.0
80,,,,C_80,85.0,25.0,10.0,769.0,820.0,90.0,2184.0
81,,,,C_81,85.0,35.0,30.0,0.0,1098.0,90.0,1730.0
82,,,,C_82,75.0,55.0,20.0,0.0,1110.0,90.0,2070.0
83,,,,C_83,72.0,55.0,10.0,0.0,1113.0,90.0,2324.0
84,,,,C_84,70.0,58.0,20.0,458.0,523.0,90.0,2060.0
85,,,,C_85,68.0,60.0,30.0,0.0,1116.0,90.0,2560.0
86,,,,C_86,66.0,55.0,10.0,0.0,1119.0,90.0,1833.0
87,,,,C_87,65.0,55.0,20.0,85.0,144.0,90.0,1158.0
88,,,,C_88,65.0,60.0,30.0,645.0,708.0,90.0,1860.0
89,,,,C_89,63.0,58.0,10.0,0.0,1121.0,90.0,2067.0
90,,,,C_90,60.0,55.0,10.0,0.0,1125.0,90.0,1250.0
91,,,,C_91,60.0,60.0,10.0,0.0,1123.0,90.0,1469.0
92,,,,C_92,67.0,85.0,20.0,368.0,441.0,90.0,1654.0
93,,,,C_93,65.0,85.0,40.0,475.0,518.0,90.0,585.0
94,,,,C_94,65.0,82.0,10.0,0.0,1105.0,90.0,1549.0
95,,,,C_95,62.0,80.0,30.0,0.0,1108.0,90.0,1364.0
96,,,,C_96,60.0,80.0,10.0,0.0,1109.0,90.0,1248.0
97,,,,C_97,60.0,85.0,30.0,0.0,1105.0,90.0,1245.0
98,,,,C_98,58.0,75.0,20.0,0.0,1115.0,90.0,1525.0
99,,,,C_99,55.0,80.0,10.0,743.0,820.0,90.0,1840.0
100,,,,C_100,55.0,85.0,20.0,647.0,726.0,90.0,1496.0
