,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,R201,25.0,1000.0,depart,35.0,35.0,0.0,0.0,1000.0,0.0,2656.0
1,,,,C_1,41.0,49.0,10.0,707.0,848.0,10.0,1178.0
2,,,,C_2,35.0,17.0,7.0,143.0,282.0,10.0,3230.0
3,,,,C_3,55.0,45.0,13.0,527.0,584.0,10.0,1852.0
4,,,,C_4,55.0,20.0,19.0,678.0,801.0,10.0,3152.0
5,,,,C_5,15.0,30.0,26.0,34.0,209.0,10.0,1846.0
6,,,,C_6,25.0,30.0,3.0,415.0,514.0,10.0,2132.0
7,,,,C_7,20.0,50.0,5.0,331.0,410.0,10.0,1329.0
8,,,,C_8,10.0,43.0,9.0,404.0,481.0,10.0,3519.0
9,,,,C_9,55.0,60.0,16.0,400.0,497.0,10.0,3236.0
10,,,,C_10,30.0,60.0,16.0,577.0,632.0,10.0,1660.0
11,,,,C_11,20.0,65.0,12.0,206.0,325.0,10.0,1981.0
12,,,,C_12,50.0,35.0,19.0,228.0,345.0,10.0,630.0
13,,,,C_13,30.0,25.0,23.0,690.0,827.0,10.0,2931.0
14,,,,C_14,15.0,10.0,20.0,32.0,243.0,10.0,809.0
15,,,,C_15,30.0,5.0,8.0,175.0,300.0,10.0,2600.0
16,,,,C_16,10.0,20.0,19.0,272.0,373.0,10.0,383.0
17,,,,C_17,5.0,30.0,2.0,733.0,870.0,10.0,2993.0
18,,,,C_18,20.0,40.0,12.0,377.0,434.0,10.0,1547.0
19,,,,C_19,15.0,60.0,17.0,269.0,378.0,10.0,1313.0
20,,,,C_20,45.0,65.0,9.0,581.0,666.0,10.0,3508.0
21,,,,C_21,45.0,20.0,11.0,214.0,331.0,10.0,2546.0
22,,,,C_22,45.0,10.0,18.0,409.0,494.0,10.0,1411.0
23,,,,C_23,55.0,5.0,29.0,206.0,325.0,10.0,2186.0
24,,,,C_24,65.0,35.0,3.0,704.0,847.0,10.0,2130.0
