,instance_name,max_vehicle_number,vehicle_capacity,cust_no,x,y,demand,ready_time,due_time,service_time,expired_time
0,RC104,25.0,200.0,depart,40.0,50.0,0.0,0.0,240.0,0.0,300.0
1,,,,C_1,25.0,85.0,20.0,0.0,191.0,10.0,570.0
2,,,,C_2,22.0,75.0,30.0,0.0,199.0,10.0,476.0
3,,,,C_3,22.0,85.0,10.0,0.0,190.0,10.0,534.0
4,,,,C_4,20.0,80.0,40.0,141.0,171.0,10.0,661.0
5,,,,C_5,20.0,85.0,20.0,0.0,189.0,10.0,773.0
6,,,,C_6,18.0,75.0,20.0,0.0,196.0,10.0,448.0
7,,,,C_7,15.0,75.0,20.0,0.0,194.0,10.0,759.0
8,,,,C_8,15.0,80.0,10.0,91.0,121.0,10.0,766.0
9,,,,C_9,10.0,35.0,20.0,91.0,121.0,10.0,785.0
10,,,,C_10,10.0,40.0,30.0,0.0,198.0,10.0,428.0
11,,,,C_11,8.0,40.0,40.0,59.0,89.0,10.0,329.0
12,,,,C_12,8.0,45.0,20.0,0.0,197.0,10.0,503.0
13,,,,C_13,5.0,35.0,10.0,142.0,172.0,10.0,440.0
14,,,,C_14,5.0,45.0,10.0,0.0,194.0,10.0,618.0
15,,,,C_15,2.0,40.0,20.0,58.0,88.0,10.0,232.0
16,,,,C_16,0.0,40.0,20.0,0.0,188.0,10.0,578.0
17,,,,C_17,0.0,45.0,20.0,0.0,189.0,10.0,688.0
18,,,,C_18,44.0,5.0,20.0,0.0,184.0,10.0,524.0
19,,,,C_19,42.0,10.0,40.0,0.0,189.0,10.0,834.0
20,,,,C_20,42.0,15.0,10.0,0.0,194.0,10.0,479.0
21,,,,C_21,40.0,5.0,10.0,0.0,185.0,10.0,794.0
22,,,,C_22,40.0,15.0,40.0,0.0,195.0,10.0,517.0
23,,,,C_23,38.0,5.0,30.0,65.0,95.0,10.0,193.0
24,,,,C_24,38.0,15.0,10.0,0.0,194.0,10.0,561.0
25,,,,C_25,35.0,5.0,20.0,154.0,184.0,10.0,775.0
26,,,,C_26,95.0,30.0,30.0,0.0,171.0,10.0,610.0
27,,,,C_27,95.0,35.0,20.0,0.0,172.0,10.0,797.0
28,,,,C_28,92.0,30.0,10.0,0.0,174.0,10.0,602.0
29,,,,C_29,90.0,35.0,10.0,0.0,177.0,10.0,662.0
30,,,,C_30,88.0,30.0,10.0,0.0,178.0,10.0,395.0
31,,,,C_31,88.0,35.0,20.0,0.0,179.0,10.0,549.0
32,,,,C_32,87.0,30.0,10.0,0.0,178.0,10.0,680.0
33,,,,C_33,85.0,25.0,10.0,0.0,178.0,10.0,801.0
34,,,,C_34,85.0,35.0,30.0,0.0,182.0,10.0,632.0
35,,,,C_35,67.0,85.0,20.0,0.0,185.0,10.0,716.0
36,,,,C_36,65.0,85.0,40.0,0.0,186.0,10.0,691.0
37,,,,C_37,65.0,82.0,10.0,0.0,189.0,10.0,476.0
38,,,,C_38,62.0,80.0,30.0,75.0,105.0,10.0,688.0
39,,,,C_39,60.0,80.0,10.0,0.0,193.0,10.0,804.0
40,,,,C_40,60.0,85.0,30.0,0.0,189.0,10.0,536.0
41,,,,C_41,58.0,75.0,20.0,0.0,199.0,10.0,664.0
42,,,,C_42,55.0,80.0,10.0,0.0,196.0,10.0,423.0
43,,,,C_43,55.0,85.0,20.0,0.0,191.0,10.0,541.0
44,,,,C_44,55.0,82.0,10.0,64.0,94.0,10.0,304.0
45,,,,C_45,20.0,82.0,10.0,0.0,192.0,10.0,509.0
46,,,,C_46,18.0,80.0,10.0,0.0,192.0,10.0,627.0
47,,,,C_47,2.0,45.0,10.0,0.0,191.0,10.0,241.0
48,,,,C_48,42.0,5.0,10.0,0.0,184.0,10.0,866.0
49,,,,C_49,42.0,12.0,10.0,0.0,191.0,10.0,523.0
50,,,,C_50,72.0,35.0,30.0,0.0,194.0,10.0,512.0
51,,,,C_51,55.0,20.0,19.0,0.0,196.0,10.0,398.0
52,,,,C_52,25.0,30.0,3.0,0.0,205.0,10.0,737.0
53,,,,C_53,20.0,50.0,5.0,91.0,121.0,10.0,325.0
54,,,,C_54,55.0,60.0,16.0,0.0,211.0,10.0,331.0
55,,,,C_55,30.0,60.0,16.0,140.0,170.0,10.0,319.0
56,,,,C_56,50.0,35.0,19.0,0.0,211.0,10.0,522.0
57,,,,C_57,30.0,25.0,23.0,0.0,203.0,10.0,783.0
58,,,,C_58,15.0,10.0,20.0,152.0,182.0,10.0,357.0
59,,,,C_59,10.0,20.0,19.0,0.0,187.0,10.0,313.0
60,,,,C_60,15.0,60.0,17.0,0.0,203.0,10.0,298.0
61,,,,C_61,45.0,65.0,9.0,0.0,214.0,10.0,292.0
62,,,,C_62,65.0,35.0,3.0,52.0,82.0,10.0,162.0
63,,,,C_63,65.0,20.0,6.0,0.0,190.0,10.0,669.0
64,,,,C_64,45.0,30.0,17.0,0.0,209.0,10.0,740.0
65,,,,C_65,35.0,40.0,16.0,0.0,218.0,10.0,722.0
66,,,,C_66,41.0,37.0,16.0,0.0,216.0,10.0,489.0
67,,,,C_67,64.0,42.0,9.0,70.0,100.0,10.0,604.0
68,,,,C_68,40.0,60.0,21.0,0.0,220.0,10.0,683.0
69,,,,C_69,31.0,52.0,27.0,41.0,71.0,10.0,446.0
70,,,,C_70,35.0,69.0,23.0,0.0,210.0,10.0,243.0
71,,,,C_71,65.0,55.0,14.0,0.0,204.0,10.0,755.0
72,,,,C_72,63.0,65.0,8.0,0.0,202.0,10.0,347.0
73,,,,C_73,2.0,60.0,5.0,0.0,190.0,10.0,556.0
74,,,,C_74,20.0,20.0,8.0,141.0,171.0,10.0,498.0
75,,,,C_75,5.0,5.0,16.0,0.0,172.0,10.0,674.0
76,,,,C_76,60.0,12.0,31.0,75.0,105.0,10.0,217.0
77,,,,C_77,23.0,3.0,7.0,150.0,180.0,10.0,426.0
78,,,,C_78,8.0,56.0,27.0,0.0,197.0,10.0,356.0
79,,,,C_79,6.0,68.0,30.0,89.0,119.0,10.0,733.0
80,,,,C_80,47.0,47.0,13.0,0.0,222.0,10.0,699.0
81,,,,C_81,49.0,58.0,10.0,0.0,217.0,10.0,779.0
82,,,,C_82,27.0,43.0,9.0,0.0,215.0,10.0,569.0
83,,,,C_83,37.0,31.0,14.0,0.0,210.0,10.0,812.0
84,,,,C_84,57.0,29.0,18.0,96.0,126.0,10.0,795.0
85,,,,C_85,63.0,23.0,2.0,0.0,194.0,10.0,384.0
86,,,,C_86,21.0,24.0,28.0,0.0,197.0,10.0,480.0
